mois_traitement,code_prestation,remboursement_part_legale_eur,quantite_prefiltree
202501,2258,110146.840000,1233.000000
202501,2107,108106.750000,557.000000
202501,9912,107425.800000,306.000000
202501,9772,104497.900000,648.000000
202501,4236,103627.330000,10.000000
202501,4131,101201.110000,749.000000
202501,1215,100724.970000,2092.000000
202501,4224,97852.510000,37.000000
202501,9715,95791.680000,252.000000
202501,2354,93700.000000,134.000000
202501,1068,93425.180000,3741.000000
202501,1999,90425.000000,893.000000
202501,2249,89053.340000,2.000000
202501,3348,88988.310000,2654.000000
202501,4132,87318.950000,616.000000
202501,3507,86184.090000,3320.000000
202501,1049,86154.290000,6861.000000
202501,1943,85991.400000,20529.000000
202501,2338,85987.220000,4972.000000
202501,1942,85952.460000,3699.000000
202501,1521,83925.560000,367.000000
202501,1212,79267.460000,2826.000000
202501,1477,78733.440000,4580.000000
202501,3136,76220.400000,18714.000000
202501,2337,75635.760000,392.000000
202501,1142,74855.800000,3054.000000
202501,2143,73768.900000,158.000000
202501,2144,72965.440000,177.000000
202501,1078,71706.910000,1506.000000
202501,1904,70391.880000,22649.000000
202501,9133,70382.810000,593.000000
202501,2167,70039.440000,594.000000
202501,3169,69632.860000,497.000000
202501,2419,69512.710000,320.000000
202501,1841,68909.120000,17462.000000
202501,3531,67266.930000,11855.000000
202501,3421,66636.760000,645.000000
202501,3343,66018.290000,2036.000000
202501,1318,64061.130000,3004.000000
202501,4327,59300.000000,12.000000
202501,9744,59124.400000,293.000000
202501,4329,58606.830000,5.000000
202501,9741,57485.090000,47.000000
202501,1928,57055.600000,52.000000
202501,9767,56836.800000,134.000000
202501,3140,56813.870000,9805.000000
202501,4353,56418.190000,4626.000000
202501,1094,53580.800000,2329.000000
202501,1948,53250.000000,239.000000
202501,2422,52550.890000,155.000000
202501,9717,51856.850000,54.000000
202501,1439,51774.000000,959.000000
202501,1414,50982.840000,933.000000
202501,8117,48514.240000,0.000000
202501,4413,48458.700000,13.000000
202501,3570,48409.660000,9271.000000
202501,9768,47926.180000,40.000000
202501,3590,47845.750000,5398.000000
202501,9775,47281.730000,256.000000
202501,1051,46949.220000,1707.000000
202501,1998,46881.250000,879.000000
202501,4154,46777.330000,541.000000
202501,3387,46346.850000,16744.000000
202501,1905,45175.050000,9936.000000
202501,9132,44947.390000,690.000000
202501,4239,44234.620000,206.000000
202501,6257,42845.860000,1207.000000
202501,6258,42724.370000,1021.000000
202501,9735,42232.390000,13.000000
